=======
RESULTS
=======

Duration of BST Search: 45902000  nanoseconds
Duration of AVL Search: 32935000  nanoseconds
Duration of Hash Table Search: 5016000  nanoseconds



==============
SEARCHED WORDS
==============

Words searched: 18197

235) Found the word: lost		 with [495] duplicates.
236) Found the word: early		 with [493] duplicates.
237) Found the word: mutilated		 with [7] duplicates.
238) Found the word: essays		 with [6] duplicates.
239) Found the word: Painting		 with [27] duplicates.
240) Found the word: Vatican		 with [20] duplicates.
241) Found the word: twice		 with [175] duplicates.
242) Found the word: 1817		 with [5] duplicates.
243) Found the word: Ludwig		 with [1] duplicates.
244) Found the word: proportions		 with [64] duplicates.
245) Found the word: rate		 with [130] duplicates.
246) Found the word: neither		 with [316] duplicates.
247) Found the word: scheme		 with [70] duplicates.
248) Found the word: anything		 with [755] duplicates.
249) Found the word: source		 with [158] duplicates.
250) Found the word: extensively		 with [19] duplicates.
251) Found the word: recording		 with [4] duplicates.
252) Found the word: eight		 with [214] duplicates.
253) Found the word: Under		 with [109] duplicates.
254) Found the word: might		 with [1159] duplicates.
255) Found the word: orderor		 with [1] duplicates.
256) Found the word: disorder		 with [77] duplicates.
257) Found the word: 1880		 with [29] duplicates.
258) Found the word: happy		 with [439] duplicates.
259) Found the word: fragment		 with [38] duplicates.
260) Found the word: fragmentinciting		 with [1] duplicates.
261) Found the word: search		 with [122] duplicates.
262) Found the word: enveloped		 with [24] duplicates.
263) Found the word: origin		 with [177] duplicates.
264) Found the word: prosecute		 with [11] duplicates.
265) Found the word: results		 with [465] duplicates.
266) Found the word: combined		 with [92] duplicates.
267) Found the word: Her		 with [207] duplicates.
268) Found the word: Majesty		 with [165] duplicates.
269) Found the word: graciously		 with [19] duplicates.
270) Found the word: accorded		 with [13] duplicates.
271) Found the word: de		 with [591] duplicates.
272) Found the word: liberal		 with [63] duplicates.
273) Found the word: answer		 with [427] duplicates.
274) Found the word: application		 with [160] duplicates.
275) Found the word: Sir		 with [73] duplicates.
276) Found the word: Corresponding		 with [1] duplicates.
277) Found the word: favour		 with [70] duplicates.
278) Found the word: Leicester		 with [3] duplicates.
279) Found the word: Marchese		 with [8] duplicates.
280) Found the word: Ambrosian		 with [6] duplicates.
281) Found the word: Rome		 with [61] duplicates.
282) Found the word: Louvre		 with [16] duplicates.
283) Found the word: Accademia		 with [8] duplicates.
284) Found the word: Uffizi		 with [5] duplicates.
285) Found the word: Turin		 with [4] duplicates.
286) Found the word: British		 with [520] duplicates.
287) Found the word: Museum		 with [37] duplicates.
288) Found the word: South		 with [610] duplicates.
289) Found the word: am		 with [1496] duplicates.
290) Found the word: Librarians		 with [1] duplicates.
291) Found the word: Monsieur		 with [82] duplicates.
292) Found the word: Abbate		 with [1] duplicates.
293) Found the word: Ceriani		 with [1] duplicates.
294) Found the word: Mr		 with [716] duplicates.
295) Found the word: Keeper		 with [1] duplicates.
296) Found the word: Librarian		 with [3] duplicates.
297) Found the word: Vere		 with [3] duplicates.
298) Found the word: Oxford		 with [24] duplicates.
299) Found the word: advice		 with [126] duplicates.
300) Found the word: Giov		 with [2] duplicates.
301) Found the word: Senatore		 with [3] duplicates.
302) Found the word: del		 with [128] duplicates.
303) Found the word: mainly		 with [150] duplicates.
304) Found the word: second		 with [635] duplicates.
305) Found the word: owe		 with [42] duplicates.
306) Found the word: indefatigable		 with [1] duplicates.
307) Found the word: taken		 with [933] duplicates.
308) Found the word: Finally		 with [73] duplicates.
309) Found the word: thanks		 with [56] duplicates.
310) Found the word: revision		 with [27] duplicates.
311) Found the word: proof		 with [81] duplicates.
312) Found the word: sheets		 with [33] duplicates.
313) Found the word: Henri		 with [3] duplicates.
314) Found the word: Geymuller		 with [2] duplicates.
315) Found the word: regard		 with [219] duplicates.
316) Found the word: negatives		 with [1] duplicates.
317) Found the word: photogravures		 with [1] duplicates.
318) Found the word: scarcely		 with [138] duplicates.
319) Found the word: general		 with [1292] duplicates.
320) Found the word: perhaps		 with [334] duplicates.
321) Found the word: permitted		 with [48] duplicates.
322) Found the word: shown		 with [332] duplicates.
323) Found the word: fortuitous		 with [2] duplicates.
324) Found the word: succession		 with [43] duplicates.
325) Found the word: Painter		 with [21] duplicates.
326) Found the word: There		 with [1382] duplicates.
327) Found the word: discoveries		 with [12] duplicates.
328) Found the word: infinitely		 with [45] duplicates.
329) Found the word: accord		 with [62] duplicates.
330) Found the word: modern		 with [95] duplicates.
331) Found the word: merits		 with [25] duplicates.
332) Found the word: likely		 with [173] duplicates.
333) Found the word: accused		 with [64] duplicates.
334) Found the word: studies		 with [83] duplicates.
335) Found the word: hardly		 with [359] duplicates.
336) Found the word: truth		 with [241] duplicates.
337) Found the word: problems		 with [132] duplicates.
338) Found the word: occupied		 with [242] duplicates.
339) Found the word: von		 with [23] duplicates.
340) Found the word: Humboldt		 with [2] duplicates.
341) Found the word: witness		 with [50] duplicates.
342) Found the word: start		 with [118] duplicates.
343) Found the word: towards		 with [364] duplicates.
344) Found the word: impressions		 with [42] duplicates.
345) Found the word: senses		 with [42] duplicates.
346) Found the word: Unity		 with [1] duplicates.
347) Found the word: Nature		 with [35] duplicates.
348) Found the word: yet		 with [869] duplicates.
349) Found the word: said		 with [7098] duplicates.
350) Found the word: naturae		 with [1] duplicates.
351) Found the word: par		 with [37] duplicates.
352) Found the word: LONDON		 with [3] duplicates.
353) Found the word: PROLEGOMENA		 with [1] duplicates.
354) Found the word: AND		 with [342] duplicates.
355) Found the word: INTRODUCTION		 with [11] duplicates.
356) Found the word: TO		 with [170] duplicates.
357) Found the word: Sigillorum		 with [1] duplicates.
